"filename", "language", "JSON with Comments", "TypeScript", "SQL", "Prisma", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\index.js", "JavaScript", 0, 0, 0, 0, 0, 44, 2, 0, 46
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\Auth.controller.js", "JavaScript", 0, 0, 0, 0, 0, 45, 1, 0, 46
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\Laundry.controller.js", "JavaScript", 0, 0, 0, 0, 0, 25, 1, 0, 26
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\Reservation.controller.js", "JavaScript", 0, 0, 0, 0, 0, 108, 7, 0, 115
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\Reservation.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\Student.controller.js", "JavaScript", 0, 0, 0, 0, 0, 24, 1, 0, 25
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\WashingMachine.controller.js", "JavaScript", 0, 0, 0, 0, 0, 59, 1, 0, 60
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\authController.js", "JavaScript", 0, 0, 0, 0, 0, 46, 0, 1, 47
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\studentController.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 1, 26
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\washingMachineController.js", "JavaScript", 0, 0, 0, 0, 0, 33, 0, 1, 34
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\interfaces\index.interface.js", "JavaScript", 0, 0, 0, 0, 0, 2, 1, 0, 3
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\middleware\auth.js", "JavaScript", 0, 0, 0, 0, 0, 48, 1, 0, 49
